geography,stratum,date,organism,resistance_pct
East Midlands,Third Generation Cephalosporins,2022-04-01,E-coli,12.5
East Midlands,Third Generation Cephalosporins,2022-05-01,E-coli,13.53
East Midlands,Third Generation Cephalosporins,2022-06-01,E-coli,13.23
East Midlands,Third Generation Cephalosporins,2022-07-01,E-coli,13.16
East Midlands,Third Generation Cephalosporins,2022-08-01,E-coli,12.83
East Midlands,Third Generation Cephalosporins,2022-09-01,E-coli,14.49
East Midlands,Third Generation Cephalosporins,2022-10-01,E-coli,14.7
East Midlands,Third Generation Cephalosporins,2022-11-01,E-coli,14.73
East Midlands,Third Generation Cephalosporins,2022-12-01,E-coli,14.49
East Midlands,Third Generation Cephalosporins,2023-01-01,E-coli,12.69
East Midlands,Third Generation Cephalosporins,2023-02-01,E-coli,12.41
East Midlands,Third Generation Cephalosporins,2023-03-01,E-coli,11.84
East Midlands,Third Generation Cephalosporins,2023-04-01,E-coli,13.81
East Midlands,Third Generation Cephalosporins,2023-05-01,E-coli,13.99
East Midlands,Third Generation Cephalosporins,2023-06-01,E-coli,13.15
East Midlands,Third Generation Cephalosporins,2023-07-01,E-coli,13.75
East Midlands,Third Generation Cephalosporins,2023-08-01,E-coli,13.22
East Midlands,Third Generation Cephalosporins,2023-09-01,E-coli,13.66
East Midlands,Third Generation Cephalosporins,2023-10-01,E-coli,12.71
East Midlands,Third Generation Cephalosporins,2023-11-01,E-coli,14.16
East Midlands,Third Generation Cephalosporins,2023-12-01,E-coli,15.68
East Midlands,Third Generation Cephalosporins,2024-01-01,E-coli,15.39
East Midlands,Third Generation Cephalosporins,2024-02-01,E-coli,14.89
East Midlands,Third Generation Cephalosporins,2024-03-01,E-coli,13.58
East Midlands,Third Generation Cephalosporins,2024-04-01,E-coli,14.56
East Midlands,Third Generation Cephalosporins,2024-05-01,E-coli,14.96
East Midlands,Third Generation Cephalosporins,2024-06-01,E-coli,15.44
East Midlands,Third Generation Cephalosporins,2024-07-01,E-coli,16.46
East Midlands,Third Generation Cephalosporins,2024-08-01,E-coli,15.2
East Midlands,Third Generation Cephalosporins,2024-09-01,E-coli,15.27
East Midlands,Third Generation Cephalosporins,2024-10-01,E-coli,13.58
East Midlands,Third Generation Cephalosporins,2024-11-01,E-coli,15.12
East Midlands,Third Generation Cephalosporins,2024-12-01,E-coli,16.28
East Midlands,Third Generation Cephalosporins,2025-01-01,E-coli,18.43
East Midlands,Third Generation Cephalosporins,2025-02-01,E-coli,17.68
East Midlands,Third Generation Cephalosporins,2025-03-01,E-coli,16.94
East Midlands,Third Generation Cephalosporins,2025-04-01,E-coli,16.08
East Midlands,Third Generation Cephalosporins,2025-05-01,E-coli,16.51
East Midlands,Third Generation Cephalosporins,2025-06-01,E-coli,17.23
East of England,Amikacin,2020-10-01,E-coli,2.02
East of England,Amikacin,2020-11-01,E-coli,1.05
East of England,Amikacin,2020-12-01,E-coli,1.0
East of England,Amikacin,2021-01-01,E-coli,1.19
East of England,Amikacin,2021-02-01,E-coli,2.39
East of England,Amikacin,2021-03-01,E-coli,2.68
East of England,Amikacin,2021-04-01,E-coli,3.9
East of England,Amikacin,2021-05-01,E-coli,3.25
East of England,Amikacin,2021-06-01,E-coli,3.21
East of England,Amikacin,2021-07-01,E-coli,2.35
East of England,Amikacin,2021-08-01,E-coli,2.99
East of England,Amikacin,2021-09-01,E-coli,3.63
East of England,Amikacin,2021-10-01,E-coli,3.03
East of England,Amikacin,2021-11-01,E-coli,2.18
East of England,Amikacin,2021-12-01,E-coli,2.22
East of England,Amikacin,2022-01-01,E-coli,2.71
East of England,Amikacin,2022-02-01,E-coli,2.9
East of England,Amikacin,2022-03-01,E-coli,2.85
East of England,Amikacin,2022-04-01,E-coli,2.88
East of England,Amikacin,2022-05-01,E-coli,2.91
East of England,Amikacin,2022-06-01,E-coli,2.84
East of England,Amikacin,2022-07-01,E-coli,3.03
East of England,Amikacin,2022-08-01,E-coli,2.85
East of England,Amikacin,2022-09-01,E-coli,1.94
East of England,Amikacin,2022-10-01,E-coli,1.54
East of England,Amikacin,2022-11-01,E-coli,2.19
East of England,Amikacin,2022-12-01,E-coli,2.24
East of England,Amikacin,2023-01-01,E-coli,3.12
East of England,Amikacin,2023-02-01,E-coli,3.2
East of England,Amikacin,2023-03-01,E-coli,3.86
East of England,Amikacin,2023-04-01,E-coli,3.93
East of England,Amikacin,2023-05-01,E-coli,3.77
East of England,Amikacin,2023-06-01,E-coli,4.49
East of England,Amikacin,2023-07-01,E-coli,4.12
East of England,Amikacin,2023-08-01,E-coli,4.6
East of England,Amikacin,2023-09-01,E-coli,4.81
East of England,Amikacin,2023-10-01,E-coli,5.5
East of England,Amikacin,2023-11-01,E-coli,4.79
East of England,Amikacin,2023-12-01,E-coli,4.01
East of England,Amikacin,2024-01-01,E-coli,3.33
East of England,Amikacin,2024-02-01,E-coli,3.27
East of England,Amikacin,2024-03-01,E-coli,3.89
East of England,Amikacin,2024-04-01,E-coli,3.99
East of England,Amikacin,2024-05-01,E-coli,4.04
East of England,Amikacin,2024-06-01,E-coli,3.65
East of England,Amikacin,2024-07-01,E-coli,3.19
East of England,Amikacin,2024-08-01,E-coli,2.51
East of England,Amikacin,2024-09-01,E-coli,2.22
East of England,Amikacin,2024-10-01,E-coli,2.47
East of England,Amikacin,2024-11-01,E-coli,3.5
East of England,Amikacin,2024-12-01,E-coli,3.46
